Data	Kwartał	Miesiąc	Tydzień	Dzień	Godzina
2/9/2024	I	2	6	9	7:23
5/3/2024	II	5	19	3	20:54
3/22/2024	I	3	13	22	12:01
10/18/2024	IV	10	43	18	18:28
4/26/2024	II	4	18	26	10:43
11/14/2024	IV	11	46	14	5:18
2/29/2024	I	2	9	29	15:54
5/17/2024	II	5	20	17	7:13
1/11/2024	I	1	2	11	4:58
4/9/2024	II	4	15	9	9:27
11/1/2024	IV	11	44	1	11:07
6/7/2024	II	6	24	7	14:45
2/15/2024	I	2	7	15	13:04
9/10/2024	III	9	37	10	21:29
1/3/2024	I	1	1	3	15:12
4/12/2024	II	4	16	12	18:41
2/23/2024	I	2	9	23	9:56
7/24/2024	III	7	30	24	8:03
3/8/2024	I	3	11	8	11:07
6/21/2024	II	6	25	21	16:39
1/25/2024	I	1	5	25	14:12
2/2/2024	I	2	6	2	21:37
4/19/2024	II	4	17	19	19:18
3/15/2024	I	3	12	15	23:42
12/7/2024	IV	12	49	7	0:09
2/16/2024	I	2	8	16	1:38
5/31/2024	II	5	22	31	2:01
1/9/2024	I	1	1	9	13:57
12/5/2024	IV	12	49	5	4:54
8/23/2024	III	8	34	23	15:41
