ID zamówienia	ID produktu	Data sprzedaży	Data wysyłki	ID klienta	ID miasto	Ilość	Sposób płatności	Kwota całkowita
7F6G	1	1/3/2024	1/5/2024	27	8	3	Blik	10497
6K6A	1	1/9/2024	1/11/2024	2	2	7	Przelew bankowy	24493
8X6V	2	1/11/2024	1/15/2024	1	6	1	PayPal	3989
2L7B	7	1/25/2024	1/29/2024	14	6	5	Blik	65020
8P0A	3	2/2/2024	2/6/2024	5	14	3	Blik	9897
4M5C	16	2/9/2024	2/13/2024	23	11	5	PayPo	5495
9A1B	15	2/15/2024	2/19/2024	26	7	1	Blik	1279
1T4E	15	2/16/2024	2/20/2024	20	10	2	Przelew bankowy	2558
4Z0A	14	2/23/2024	2/27/2024	10	15	6	Przelew bankowy	17694
7W7H	16	2/29/2024	3/4/2024	6	8	7	Blik	7693
5H4Y	10	3/8/2024	3/12/2024	3	3	6	Blik	7794
8Y9J	5	3/15/2024	3/19/2024	19	7	5	 PayPo 	11995
7M8C	10	3/22/2024	3/26/2024	24	15	5	PayPo 	6495
A1YQ	9	4/9/2024	4/11/2024	29	5	1	PayPal	2499
1C3D	11	4/12/2024	4/16/2024	17	2	4	Blik	2636
5S3D	6	4/19/2024	4/23/2024	4	9	3	Blik	4197
2V6G	15	4/26/2024	4/30/2024	7	14	2	PayPo 	2558
3F2W	9	5/3/2024	5/7/2024	28	13	1	Blik	2499
9G3X	12	5/17/2024	5/21/2024	21	14	7	Blik	6020
3N9D	1	5/31/2024	6/4/2024	12	1	2	PayPo	6998
2B3J	8	6/7/2024	6/11/2024	22	5	2	Przelew bankowy	8398
1J5Z	2	6/21/2024	6/25/2024	13	14	4	Przelew bankowy	15956
6U5F	10	7/24/2024	7/26/2024	11	6	8	Blik	10392
5B2C	3	8/23/2024	8/27/2024	9	4	3	PayPo 	9897
2E5F	12	9/10/2024	9/12/2024	18	15	9	Blik	7740
4Q1B	13	10/18/2024	10/22/2024	30	4	2	PayPo 	9378
7T9P	3	11/1/2024	11/5/2024	25	1	3	Blik	9897
3X8I	14	11/14/2024	11/18/2024	16	9	4	Blik	11796
9R2C	2	12/5/2024	12/9/2024	15	3	6	Przelew bankowy	23934
6D4E	4	12/7/2024	12/10/2024	8	12	1	Przelew bankowy	3999
